Localisation	Id. source	Segment source	Segment cible	Id. cible
2.3.14	eJSKGdg	assi commo en fortaleza o en poderio ciuil deue enssennorear	ut in fortitudine , | vel in ciuili potentia ,	asaixJs, cKmGDLf
2.3.15	vK8UKla	assi commo si algunos fallesciessen enl poderio	ut | si qui in potentia deficientes ;	l0pmHbt, aUh2IHk
2.3.18	u360XPZ	assi commo son honrra de linage riquezas e poderio çiuil	huiusmodi sunt honorabilitas generis , diuitiae , | et ciuilis potentia .	tAsCFzV, aGCdukR
2.3.19	dgjoAi8	en cuyo poderio es departir muchͣs	in quorum potestate est multa tribuere ,	qP7I7QA
3.1.5	rzgHRXK	que los gouernadores de la çibdat ayan poderio çiuil		
3.1.5	miwFhaj	que el ha grant poderio en la çibdat	si sciant ipsum magnam habere ciuilem potentiam ,	qm17C1L
3.1.5	zoua7vd	quesiessen tiranizar e ser malos en todo quanto menor poderio ellos ouieren tanto	quanto minorem haberet potentiam ,	pXy0avo
3.1.5	tw1DUJ2	e ordener el poderio çiuil delas otras çibdades a defendimiento de cada vna delas çibdades del regno	et ordinare ciuilem potentiam aliarum ciuitatum | ad defensionem cuiuslibet ciuitatis regni ;	aWUVuGm, k7bP9pl
3.1.6	axmv4vP	temiendo el poderio de los enemigos	timentes inimicorum potentiam .	xNCXpqS
3.1.6	l70BYUe	por tirania e por poderio ciuil apremiasse las otras çibdades	et per ciuilem potentiam opprimat ciuitates alias ,	s923zX5
3.1.7	tA9gnMo	assi commo de aquellos que estan en menores poderios	et vena argenti ut existentes in minoribus ,	cMzP45H
3.1.13	b4xUByo	que han poderio en la çibdat ¶ La terçera de parte de los çibdadanos .		
3.1.13	bUI1cCk	e ha poderio	ut publica et habens potestatem ;	zqcAIwd
3.1.13	vKMJy78	que non ha poderio	donec est persona priuata non habens potestatem ,	oJBmiar
3.1.13	rL5Tmx4	que esle un atada en alguna dignidat o en algun maestradgo o en algun poderio	postquam ad aliquam praeposituram vel ad aliquem magistratum assumitur .	uvi1nXV
3.1.20	hEOWLUc	que los lidiadores ouiessen mayor poderio que los menestrales nin los labradores todos en vno .	oportebat bellatores habere maiorem potentiam , | quam agricolae ,	n08InQT, lAr1ADD
3.2.1	ksbrvL7	Lo segundo que por el poderio ciuil sean bien guardadas	Secundo ut per ciuilem potentiam sint bene custoditae . Tertio ut per leges inuentas	gGyFtZB
3.2.1	cxVwuL5	por el poderio çiuil esto parte nesçe alos prinçipes onde el philosofo enłqnto libbo delas ethicas dize	per ciuilem potentiam spectat ad principem . | Unde	kHXyCc8, hbpNg8e
3.2.2	ygsJJ9a	Mas entiende por poderio çiuil apremiar los otros	sed per ciuilem potentiam opprimens alios ,	i1r8CcD
3.2.3	aAywd8E	La segunda razon de poderio çiuil		
3.2.3	iuN5R52	para prouar esto se toma del poderio çiuil	sumitur ex ciuili potentia ,	bmuJM3H
3.2.3	jgX70S4	por ma . yor cunplimiento de poderio meior podria gouernar la çibdat	et ille principans propter abundantiorem potentiam melius posset politiam gubernare .	aIdvOPy
3.2.5	vfoN3u0	de nueuo leunatados en poderio .	et de nouo eleuatorum per adeptionem ciuilis potentiae ,	nd9zRoF
3.2.5	lM7Wpu1	por este poderio çiuil peotes son en costunbres	et de nouo eleuatorum per adeptionem ciuilis potentiae ,	nd9zRoF
3.2.5	rAz3iHp	que el poderio real o la dignidat re aluaya alos fijos por hedamiento	ut regia dignitas per haereditatem transferatur	htAy3WR
3.2.6	lmKeWyl	pora una taia de poderio e de dignidat	et dignitatis .	qW7ywBu
3.2.6	rAAz1op	e del grant poderio pueden ser razon	et potentiae possunt esse causa ut rite aliquis constituatur in regem ,	vDhFc5m
3.2.6	jiy9X1L	que el Rey abonde en poderio çiuil	et priuatum . Tertio expedit eum abundare in ciuili potentia , ut possit corrigere volentes insurgere ,	cSexU1e
3.2.7	jONJ1Pm	ca por el su poderio muy grande	quia propter suam unitam potentiam potest multa mala efficere .	lxdHYWy
3.2.8	xusukak	assy acuçioso çerca el poderio çiuil e çerca la sabiduria delas almas		
3.2.9	l7TlDCa	si tal muchedunbre de poderio çiuil fuere ganada	si huiusmodi multitudo ciuilis potentiae acquisita sit per usurpationem	fjzwZ96
3.2.9	eH9gpU8	e el su poderio aqui non puede ser ninguna cosa contraria legnia	cui omnia sunt nota , et eius potentia cui nihil potest resistere ,	kMFMUrG
3.2.10	wGmbKWj	Entre tanto non puede de ligero contradezer al su mal poderio	tamdiu non potest aeque de facili eius potentiae resisti :	l4YblfH
3.2.11	r9KysOx	por el poderio çiuil a cometera al tirano .	propter ciuilem potentiam tyrannum inuadit .	wqqltE8
3.2.15	aOIax9I	e la poliçia es auer poderio çiuilca	est habere ciuilem potentiam .	jxcttDm
3.2.15	tsLOlIy	sinon dando pena poderio çiuil	nisi per potentiam ciuilem puniantur transgressores iusti .	wQkX78k
3.2.15	gypz9j6	assi que commo lieua auna taia de los otros en dignidat e en poderio	ut sicut alios dignitate et potentia excellit ,	aFho5ew
3.2.19	rtzdiaP	deue ser penssado el poderio del regno o dela çibdat	si visum sit bellum esse iustum , consideranda est potentia regni ,	cKIdw3V
3.2.19	g9w5ESq	quanto es el poderio de los enemigos o de los contrarios		
3.2.24	ohxalsd	ha en todo logar vn poderio .	ubique eandem habet potentiam ;	x9lsBQR
3.2.26	lTrOmpE	e poderio de costrennir los malos .		
3.2.27	inmu0L0	La segunda de aquello que han uirtud e poderio de costrennir ¶	Secundo ex eo quod habent potentiam coactiuam .	gUVDbmn
3.2.27	lQkhE2M	para prouar esto mesmo se toma de aquello que las leyes han poderio de costrennir .	sumitur ex eo quod leges coactiuam habent potentiam .	qD6Sxs2
3.2.27	pEQYrAR	por que non han ningun poderio para costrennir .	et persuasiones non dicuntur leges , quia nihil habent coactiuum .	egQnYXT
3.2.27	q56DVd1	que han poderio de costrennir	qui praeest ipsi multitudini ,	tVsiwNH
3.2.30	gMFSzfe	Ca commo este tal bien sea sobre el poderio dela nuestra natura .	Nam cum huiusmodi bonum sit | supra facultates nostrae naturae ,	upzIu1l, bXPtTgb
3.2.30	ynvRYuJ	por que assi commo sobrepuian los otros en poderio e en diuinidat	ut sicut excedunt alios potentia et dignitate ,	r2m89Uz
3.2.32	y7FdJcp	segunt que alguno sobrepuia alos otros en poderio e en dignidat	secundum quod aliquis excedit alios in potentia	hAfbg1j
3.2.33	xsH74ya	e en poderios e en riquezas e en amigos	potentiis , diuitiis , et amicis ,	u7aa96v
3.2.34	wY98FtL	e avn los ponedores dellas assi commo los Reyes e los prinçipes han poderio de costrennir alos omes	et etiam legislatores , | ut Reges et Principes coactiuam habent potentiam :	tR8ri9t, gwZaiQR
3.3.20	bb3m1AR	o si ouieren poderio es de fazer tal fortaleza	si adsit facultas quaerenda est munitio talis ,	esglm8k
